,category,proportion
0,0,0.0
1,1,0.991869918699187
2,0,0.0
3,1,0.5823863636363636
4,4,0.9972602739726028
5,2,0.5120772946859904
6,5,0.9717514124293786
7,0,0.0
8,4,0.49214659685863876
9,0,0.0
10,4,0.806060606060606
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,1,0.007194244604316547
19,1,1.0
20,1,0.9807692307692307
21,0,0.0
22,0,0.0
23,0,0.0
24,4,0.65
25,0,0.0
26,0,0.0
27,0,0.0
28,4,0.3514644351464435
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,3,0.9555555555555556
35,3,1.0
36,3,0.9880239520958084
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,1,1.0
42,1,0.9931972789115646
43,0,0.0
44,0,0.0
45,0,0.0
46,4,0.9926470588235294
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,1,1.0
57,1,0.5555555555555556
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,1,0.7282051282051282
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,4,0.8686868686868687
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,4,1.0
85,4,1.0
86,4,0.1437908496732026
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,1,1.0
130,1,0.017543859649122806
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,3,0.9076923076923077
145,3,0.9705882352941176
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,3,0.868995633187773
169,1,0.8888888888888888
170,1,1.0
171,1,1.0
172,1,0.9941176470588236
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,3,0.021739130434782608
180,3,0.9163636363636364
181,0,0.0
182,0,0.0
183,3,0.02564102564102564
184,3,1.0
185,3,0.9924242424242424
186,0,0.0
187,1,0.38461538461538464
188,1,1.0
189,1,1.0
190,1,1.0
191,1,1.0
192,1,0.92
193,4,1.0
194,4,1.0
195,4,0.8303030303030303
196,4,0.9310344827586207
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
